dataset,cluster_method,R,num_clusters,num_deli_nodes,milp_obj,milp_mip_gap,milp_runtime,avg_cluster_size,avg_cluster_cost,total_cost,total_runtime
Paris,None,-,-,112,627.7236495,0.07374011,1800.225863,-,-,627.7236495,1807.992721
Paris,Kmeans,2,5,76,630.7733299,0.073683211,486.9453869,3728.4,10.496,683.2533299,487.0292497
Paris,Kmeans,2,6,71,639.292037,0.075097324,1800.16997,3581.5,10.91933333,704.808037,1800.263194
Paris,Kmeans,2,7,66,628.2358312,0.068860721,166.6599998,3462,10.18542857,699.5338312,166.7431254
Paris,Kmeans,2,8,55,636.3458984,0.072481065,84.33499718,3664.875,10.31625,718.8758984,84.41023874
Paris,Kmeans,2,9,51,626.0650667,0.071386211,58.00698853,3512.111111,9.914222222,715.2930667,58.06930852
Paris,Kmeans,2,10,52,631.5683956,0.073693983,68.40496635,3152.6,9.6724,728.2923956,68.48489451
Paris,Kmeans,3,5,45,609.5453094,0.067014631,42.97399139,6448.2,15.3252,686.1713094,43.04791117
Paris,Kmeans,3,6,40,615.3391495,0.06864662,32.8080101,5860.5,14.163,700.3171495,32.88041019
Paris,Kmeans,3,7,36,596.1749524,0.070139347,11.55000305,5350.428571,13.35571429,689.6649524,11.62609553
Paris,Kmeans,3,8,35,593.8572254,0.070166801,12.78800011,4875.25,12.03325,690.1232254,12.86688709
Paris,Kmeans,3,9,28,628.8522599,0.070968359,2.549999237,4726.111111,11.56577778,732.9442599,2.616590738
Paris,Kmeans,3,10,30,601.4550706,0.073492644,4.267997742,4207.7,11.0596,712.0510706,4.336958408
Paris,Kmeans,4,5,27,604.032918,0.06391551,7.312004089,8134.2,17.6992,692.528918,7.379070759
Paris,Kmeans,4,6,23,630.7124179,0.071401383,2.465991974,7198.333333,15.639,724.5464179,2.550475836
Paris,Kmeans,4,7,20,626.8472805,0.063373354,1.258998871,6432.428571,14.26914286,726.7312805,1.331012249
Paris,Kmeans,4,8,21,612.936604,0.068705691,1.604980469,5659.875,13.114,717.848604,1.67453742
Paris,Kmeans,4,9,17,666.8555216,0.056483173,0.675981522,5258.444444,12.14511111,776.1615216,0.761857748
Paris,Kmeans,4,10,16,648.252211,0.060540653,0.407011032,4838,11.447,762.722211,0.500200987
Paris,Kmeans,5,5,17,618.4800615,0.073694216,3.00198555,9027.2,19.202,714.4900615,3.083391428
Paris,Kmeans,5,6,14,622.142206,0.064468849,0.685003281,7878.333333,16.763,722.720206,0.778219938
Paris,Kmeans,5,7,12,649.8991769,0.069653444,0.287996292,6950.142857,14.95971429,754.6171769,0.382608652
Paris,Kmeans,5,8,13,598.0724545,0.045528007,0.350004196,6066.625,13.702,707.6884545,0.457051277
Paris,Kmeans,5,9,13,679.5003102,0.050462112,0.255012512,5455,12.33777778,790.5403102,0.325944185
Paris,Kmeans,5,10,12,651.053226,0.031193014,0.167995453,5014.9,11.5594,766.647226,0.245484829
Paris,kmeans_DBSCAN,2,6,68,617.8788978,0.072234718,120.6529999,3777.5,10.085,678.3888978,132.8985765
Paris,kmeans_DBSCAN,3,6,48,625.4056708,0.065892185,232.348,5264.5,12.95533333,703.1376708,244.1646922
Paris,kmeans_DBSCAN,4,6,40,612.7145197,0.065699495,37.32500005,5830.666667,14.08766667,697.2405197,46.5074749
Paris,kmeans_DBSCAN,5,6,37,593.6195498,0.044386232,105.7020001,6016.166667,14.32966667,679.5975498,114.0685627
Paris,kmedoids,2,5,69,618.3923127,0.073645779,163.0840302,4331,11.112,673.9523127,163.1233478
Paris,kmedoids,2,6,57,621.0939268,0.071286862,118.9919968,4545.5,11.20433333,688.3199268,119.0271974
Paris,kmedoids,2,7,46,618.5607494,0.071986907,23.04299927,4726.428571,11.28857143,697.5807494,23.06853056
Paris,kmedoids,2,8,47,628.6223456,0.071535908,37.10700417,4086.125,10.5545,713.0583456,37.12585759
Paris,kmedoids,2,9,42,635.1194907,0.069367546,23.38300133,3924.888889,10.22955556,727.1854907,23.40233755
Paris,kmedoids,2,10,38,642.9514139,0.07310964,7.582019806,3772.8,9.6148,739.0994139,7.607977152
Paris,kmedoids,3,5,47,615.1815142,0.052734716,83.53600121,6215.4,14.8808,689.5855142,83.57555914
Paris,kmedoids,3,6,36,607.2815535,0.063123958,18.29599571,6138.666667,14.369,693.4955535,18.32304025
Paris,kmedoids,3,7,34,604.6298917,0.052358473,11.51099968,5481.571429,12.79885714,694.2218917,11.54918456
Paris,kmedoids,3,8,34,603.7982069,0.064592311,4.570999146,4846.125,11.94975,699.3962069,4.600025415
Paris,kmedoids,3,9,30,604.6409255,0.048791962,4.517002106,4557.555556,11.28844444,706.2369255,4.554260731
Paris,kmedoids,3,10,30,636.0713849,0.050174209,1.444013596,4143,10.1564,737.6353849,1.470990896
Paris,kmedoids,4,5,34,587.6520525,0.064607082,8.808998108,7486.2,17.4224,674.7640525,8.837698936
Paris,kmedoids,4,6,27,590.8266968,0.061051904,2.724994659,6821.833333,15.73533333,685.2386968,2.752070427
Paris,kmedoids,4,7,28,616.3502288,0.055044916,10.42899895,5862,13.55971429,711.2682288,10.45636654
Paris,kmedoids,4,8,27,611.4729597,0.065437597,8.763000488,5230.5,12.7185,713.2209597,8.792524338
Paris,kmedoids,4,9,27,603.9044083,0.046379675,3.396993637,4684.777778,11.472,707.1524083,3.42118001
Paris,kmedoids,4,10,28,655.2583375,0.06747094,2.481988907,4216.3,10.2392,757.6503375,2.522000074
Paris,kmedoids,5,5,23,598.447409,0.028384943,2.428970337,8454.6,18.85,692.697409,2.454781294
Paris,kmedoids,5,6,20,586.9392773,0.045436355,1.336990356,7345.5,16.35833333,685.0892773,1.365216017
Paris,kmedoids,5,7,21,625.5136691,0.071083125,1.694999695,6296.142857,14.06428571,723.9636691,1.726448059
Paris,kmedoids,5,8,21,616.9465363,0.064680911,1.540985107,5571.5,13.08225,721.6045363,1.57282424
Paris,kmedoids,5,9,22,594.252613,0.026300373,0.868988037,4952.444444,11.79533333,700.410613,0.893939972
Paris,kmedoids,5,10,25,630.1589812,0.039769021,1.032999039,4361.8,10.5302,735.4609812,1.060188532
Paris,p_median,2,5,58,625.2185115,0.073533727,149.7176247,5364,11.268,681.5585115,150.9921339
Paris,p_median,2,6,53,618.6075502,0.068444454,49.67499924,4913.333333,11.38233333,686.9015502,50.74706721
Paris,p_median,2,7,50,619.6904852,0.070624024,47.46500015,4483.857143,11.21571429,698.2004852,48.61887813
Paris,p_median,2,8,50,614.5936014,0.069444072,41.94898224,3990.625,10.85125,701.4036014,43.21896982
Paris,p_median,2,9,41,616.9641609,0.068927907,19.83799934,4035.777778,10.656,712.8681609,20.99575639
Paris,p_median,2,10,40,630.1325342,0.071708893,13.27499771,3715,9.786,727.9925342,14.30784297
Paris,p_median,3,5,34,615.9187268,0.064327818,9.563001633,7496.4,15.2928,692.3827268,10.6507349
Paris,p_median,3,6,31,612.4601094,0.053257872,11.51399994,6558.333333,14.12733333,697.2241094,12.65849161
Paris,p_median,3,7,30,613.8122075,0.072602192,7.231996536,5745.714286,12.99285714,704.7622075,8.362379551
Paris,p_median,3,8,31,604.0704141,0.050665192,14.08799362,5069.25,12.2095,701.7464141,15.28454113
Paris,p_median,3,9,28,628.2613417,0.067665391,5.646995544,4703.888889,11.282,729.7993417,6.684932709
Paris,p_median,3,10,28,646.3097881,0.070650652,3.183000565,4291.3,10.3232,749.5417881,4.2956388
Paris,p_median,4,5,27,640.2082204,0.068170979,3.292999268,8084,16.468,722.5482204,4.480208635
Paris,p_median,4,6,23,633.8493387,0.053604845,3.527996063,7139.833333,15.10666667,724.4893387,4.612240076
Paris,p_median,4,7,21,638.2225976,0.058735664,2.33899498,6336.571429,13.79028571,734.7545976,3.488764763
Paris,p_median,4,8,20,640.558592,0.068892389,2.804000854,5684.625,13.104,745.390592,3.998710632
Paris,p_median,4,9,21,651.9079788,0.073178194,2.242002487,5053,11.68133333,757.0399788,3.342362642
Paris,p_median,4,10,22,675.6504756,0.068377117,2.309000015,4547.7,10.6054,781.7044756,3.449859142
Paris,p_median,5,5,22,623.5150661,0.071370845,1.361000061,8538.2,17.3764,710.3970661,2.490917444
Paris,p_median,5,6,17,615.7917377,0.060552301,0.585000992,7585.5,15.86366667,710.9737377,1.97315979
Paris,p_median,5,7,14,627.5613396,0.04332535,0.422002792,6788.571429,14.40857143,728.4213396,1.781481266
Paris,p_median,5,8,12,612.3468911,0.058416835,0.192001343,6141.5,13.645,721.5068911,1.291008472
Paris,p_median,5,9,13,615.5453105,0.049642759,0.274995804,5459.111111,12.16222222,725.0053105,1.539214849
Paris,p_median,5,10,14,646.9360436,0.037832677,0.164999008,4913.2,11.0382,757.3180436,1.244090557
