dataset,cluster_method,R,num_clusters,num_deli_nodes,milp_obj,milp_mip_gap,milp_runtime,avg_cluster_size,avg_cluster_cost,total_cost,total_runtime
Shanghai,Kmeans,0,0,129,1437.931149,0.104850032,1800.185,-,-,1437.931149,1813.733803
Shanghai,kmeans_DBSCAN,0,0,129,1437.931149,0.104850032,1800.185,-,-,1437.931149,1813.733803
Shanghai,p_median,0,0,129,1437.931149,0.104850032,1800.185,-,-,1437.931149,1813.733803
Shanghai,kmedoids,0,0,129,1437.931149,0.104850032,1800.185,-,-,1437.931149,1813.733803
Shanghai,SOM,0,0,129,1437.931149,0.104850032,1800.185,-,-,1437.931149,1813.733803
Shanghai,Kmeans,4,5,106,1382.350458,0.092282208,1800.419,2476,8.516,1424.930458,1813.078266
Shanghai,Kmeans,4,6,101,1441.908468,0.10750859,1800.284,2671.666667,9.213333333,1497.188468,1835.780996
Shanghai,Kmeans,4,7,96,1392.165683,0.07604071,1800.262,2761.428571,8.682857143,1452.945683,1839.454591
Shanghai,Kmeans,4,8,91,1436.612069,0.088947759,1800.183,2996.25,9.9125,1515.912069,1843.19537
Shanghai,Kmeans,5,5,92,1355.977756,0.083297906,1800.238,4328,11.852,1415.237756,1809.087949
Shanghai,Kmeans,5,6,87,1378.275054,0.083873419,1800.42,3900,10.53666667,1441.495054,1824.832301
Shanghai,Kmeans,5.0,7.0,84.0,1400.2915599129897,0.078919291112215,840.3139998912811,3584.285714285714,9.474285714285713,1466.6115599129896,857.551050901413
Shanghai,Kmeans,5.0,8.0,73.0,1429.6140656009945,0.10024921547133468,192.4630000591278,4016.25,10.749999999999998,1515.6140656009945,215.10439085960388
Shanghai,Kmeans,5.0,9.0,57.0,1362.3677832193914,0.09117130409862526,66.48000001907349,4500.0,11.553333333333333,1466.3477832193914,78.322336435318
Shanghai,Kmeans,5.0,10.0,54.0,1363.2647023816035,0.10473872680823942,40.301000118255615,4269.0,11.227999999999998,1475.5447023816034,50.31675171852112
Shanghai,Kmeans,6.0,5.0,76.0,1378.1360889334997,0.10028381150153415,204.65700006484985,5698.0,14.012,1448.1960889334996,235.79624319076538
Shanghai,Kmeans,6.0,6.0,70.0,1382.1978090926045,0.09985600393873201,151.11100006103516,5231.666666666667,12.746666666666668,1458.6778090926045,171.31702494621277
Shanghai,Kmeans,6.0,7.0,67.0,1354.7092462050964,0.07560382907301198,102.3989999294281,4634.285714285715,10.974285714285713,1431.5292462050963,117.62350225448608
Shanghai,Kmeans,6.0,8.0,54.0,1421.1604694679925,0.09943792688689074,93.75200009346008,5176.25,12.309999999999999,1519.6404694679925,106.672860622406
Shanghai,Kmeans,6.0,9.0,38.0,1326.4777559210686,0.0678363228081981,27.7189998626709,5298.888888888889,12.117777777777777,1435.5377559210685,33.672390937805176
Shanghai,Kmeans,6.0,10.0,33.0,1350.2593455657964,0.09877467727192514,5.242000102996826,5112.0,11.892,1469.1793455657964,11.468808889389038
Shanghai,Kmeans,7.0,5.0,66.0,1392.9175584779364,0.10208957541094761,173.6980001926422,6674.0,15.436000000000002,1470.0975584779364,195.819486618042
Shanghai,Kmeans,7.0,6.0,51.0,1370.9213435313864,0.09734726084515173,53.45700001716614,7113.333333333333,15.503333333333332,1463.9413435313863,66.64956426620483
Shanghai,Kmeans,7.0,7.0,45.0,1377.2574495686763,0.10358744849448984,15.931999921798706,6154.285714285715,13.531428571428572,1471.9774495686763,24.95145297050476
Shanghai,Kmeans,7.0,8.0,39.0,1317.9800587476693,0.0773937900713373,32.66000008583069,6028.75,13.455,1425.6200587476694,41.23247003555298
Shanghai,Kmeans,7.0,9.0,23.0,1313.262039454941,0.08775346348863905,1.7229998111724854,6084.444444444444,13.182222222222222,1431.9020394549411,4.271101474761963
Shanghai,Kmeans,7.0,10.0,21.0,1318.2170588812928,0.09583057165698008,1.1469998359680176,5657.0,12.632,1444.5370588812928,3.1903254985809326
Shanghai,Kmeans,8.0,5.0,47.0,1372.8680754766938,0.10483215151625892,72.47300004959106,8256.0,17.392,1459.8280754766938,84.6588134765625
Shanghai,Kmeans,8.0,6.0,39.0,1305.4467044313237,0.06655057770465689,17.628000020980835,7773.333333333333,16.363333333333333,1403.6267044313238,25.597163915634155
Shanghai,Kmeans,8.0,7.0,32.0,1375.8151684109846,0.10338213999921458,12.23199987411499,7081.428571428572,15.079999999999998,1481.3751684109845,17.76525855064392
Shanghai,Kmeans,8.0,8.0,26.0,1343.4906784798015,0.09261108261295302,4.542999982833862,6741.25,14.624999999999998,1460.4906784798015,8.357863187789917
Shanghai,Kmeans,8.0,9.0,17.0,1258.5464337371036,0.029872838910941002,0.810999870300293,6425.555555555556,13.682222222222222,1381.6864337371037,2.832853078842163
Shanghai,Kmeans,8.0,10.0,14.0,1296.6014529602237,0.032131728288832345,0.4460000991821289,5996.0,13.133999999999997,1427.9414529602236,2.07004714012146
Shanghai,kmeans_DBSCAN,4.0,7.0,91.0,1394.7244914679927,0.10356759729140029,199.9800000190735,3320.0,9.571428571428571,1461.7244914679927,218.7115354537964
Shanghai,kmeans_DBSCAN,5.0,7.0,86.0,1398.5469264416947,0.10173407450017982,938.4839999675751,3728.5714285714284,10.174285714285714,1469.7669264416947,960.407408952713
Shanghai,kmeans_DBSCAN,6.0,7.0,81.0,1370.2565824240107,0.10170784293492934,217.66100001335144,4108.571428571428,10.934285714285712,1446.7965824240107,241.39988470077515
Shanghai,kmeans_DBSCAN,7.0,7.0,78.0,1394.7906111653201,0.10483549506125674,688.3519999980927,4361.428571428572,11.342857142857142,1474.1906111653202,711.6307482719421
Shanghai,kmeans_DBSCAN,8.0,7.0,73.0,1373.2759059757618,0.1047189175533484,158.2150001525879,4808.571428571428,11.825714285714286,1456.0559059757618,179.52458572387695
Shanghai,p_median,4.0,5.0,94.0,1412.3181755910498,0.10438317995791517,197.36100006103516,4430.0,10.108,1462.8581755910498,220.64716839790344
Shanghai,p_median,4.0,6.0,96.0,1418.549563609695,0.10388502457710791,282.7660000324249,3601.6666666666665,9.806666666666667,1477.389563609695,305.1102921962738
Shanghai,p_median,4.0,7.0,86.0,1405.761213240526,0.10063935520197079,163.3289999961853,3498.5714285714284,9.248571428571427,1470.501213240526,181.53940677642822
Shanghai,p_median,4.0,8.0,78.0,1413.16174084711,0.08856853241379387,461.68800020217896,3635.0,9.49,1489.08174084711,481.04439401626587
Shanghai,p_median,4.0,9.0,76.0,1391.2512176109387,0.10467023513862306,149.13900017738342,3480.0,9.357777777777777,1475.4712176109388,168.3528516292572
Shanghai,p_median,4.0,10.0,67.0,1381.8744139807336,0.09544294801961144,87.3769998550415,3747.0,10.267999999999997,1484.5544139807337,102.57951951026917
Shanghai,p_median,5.0,5.0,79.0,1392.459013034182,0.10461069775322883,196.19899988174438,5764.0,12.492,1454.919013034182,215.99674034118652
Shanghai,p_median,5.0,6.0,81.0,1370.6150726507142,0.10345312984386369,185.5329999923706,4796.666666666667,11.793333333333335,1441.3750726507142,208.7984893321991
Shanghai,p_median,5.0,7.0,68.0,1399.2586642498447,0.0978914765611461,715.2070000171661,4921.428571428572,11.371428571428572,1478.8586642498447,730.9971973896027
Shanghai,p_median,5.0,8.0,62.0,1430.4198057426972,0.10483481029613517,282.58200001716614,4723.75,11.035,1518.6998057426972,296.7610778808594
Shanghai,p_median,5.0,9.0,61.0,1403.1288065034182,0.10447216908295728,124.79099988937378,4362.222222222223,10.731111111111112,1499.7088065034181,138.48154306411743
Shanghai,p_median,5.0,10.0,54.0,1405.4613423250466,0.10434027171963188,72.31599998474121,4276.0,10.835999999999999,1513.8213423250465,84.68284773826599
